learning_rate,weight_decay,val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc,success,output_file
0.001,0.001,,0.5579632520675659,0.7097102999687195,0.7102940082550049,0.7097102999687195,0.7094926238059998,0.7843626141548157,False,t_jepa_higgs_probe_grid_results/probe_grid_5173_2.out
0.1,0.001,,0.5579797029495239,0.710118293762207,0.7107534408569336,0.710118293762207,0.7098821997642517,0.7843477129936218,False,t_jepa_higgs_probe_grid_results/probe_grid_5173_8.out
0.001,0.0001,,0.5579650402069092,0.7100163102149963,0.7106032967567444,0.7100163102149963,0.7097986936569214,0.7844300866127014,False,t_jepa_higgs_probe_grid_results/probe_grid_5173_1.out
0.01,0.001,,0.5579879879951477,0.7103223204612732,0.7109740376472473,0.7103223204612732,0.7101320028305054,0.784400224685669,False,t_jepa_higgs_probe_grid_results/probe_grid_5173_5.out
0.001,0.01,,0.5579422116279602,0.7097102999687195,0.7103162407875061,0.7097102999687195,0.7094851136207581,0.7843968272209167,False,t_jepa_higgs_probe_grid_results/probe_grid_5173_3.out
0.1,0.01,,0.5580053329467773,0.7096083164215088,0.7102358937263489,0.7096083164215088,0.7093912959098816,0.7843642830848694,False,t_jepa_higgs_probe_grid_results/probe_grid_5173_9.out
0.01,0.01,,0.5580295920372009,0.710118293762207,0.7107382416725159,0.710118293762207,0.7098889946937561,0.7842961549758911,False,t_jepa_higgs_probe_grid_results/probe_grid_5173_6.out
0.1,0.0001,,0.5580645799636841,0.7095063328742981,0.7101464867591858,0.7095063328742981,0.7093049883842468,0.7843019366264343,False,t_jepa_higgs_probe_grid_results/probe_grid_5173_7.out
0.01,0.0001,,0.5578928589820862,0.7095063328742981,0.7101249694824219,0.7095063328742981,0.7092786431312561,0.7844619750976562,False,t_jepa_higgs_probe_grid_results/probe_grid_5173_4.out
